ID,Academy,Talent,Training,16End,16Bat,16Bowl,16Tech,16Power,16Keep,16Field,17End,17Bat,17Bowl,17Tech,17Power,17Keep,17Field,18End,18Bat,18Bowl,18Tech,18Power,18Keep,18Field,19End,19Bat,19Bowl,19Tech,19Power,19Keep,19Field,20End,20Bat,20Bowl,20Tech,20Power,20Keep,20Field,21End,21Bat,21Bowl,21Tech,21Power,21Keep,21Field,22End,22Bat,22Bowl,22Tech,22Power,22Keep,22Field,23End,23Bat,23Bowl,23Tech,23Power,23Keep,23Field,24End,24Bat,24Bowl,24Tech,24Power,24Keep,24Field,25End,25Bat,25Bowl,25Tech,25Power,25Keep,25Field,26End,26Bat,26Bowl,26Tech,26Power,26Keep,26Field,27End,27Bat,27Bowl,27Tech,27Power,27Keep,27Field,28End,28Bat,28Bowl,28Tech,28Power,28Keep,28Field,29End,29Bat,29Bowl,29Tech,29Power,29Keep,29Field,30End,30Bat,30Bowl,30Tech,30Power,30Keep,30Field,31End,31Bat,31Bowl,31Tech,31Power,31Keep,31Field
deluxeNoneBatting,deluxe,None,Batting,32,117,,85,,,,32,111,,81,,,,32,107,,78,,,,32,97,,71,,,,32,90,,66,,,,32,83,,61,,,,32,76,,56,,,,32,69,,50,,,,32,62,,45,,,,32,55,,40,,,,32,48,,35,,,,32,43,,31,,,,32,39,,28,,,,32,34,,25,,,,32,29,,21,,,,29,24,,17,,,
deluxeNoneBatting-Tech,deluxe,None,Batting-Tech,32,85,,132,,,,32,81,,126,,,,32,78,,121,,,,32,71,,110,,,,32,66,,102,,,,32,61,,94,,,,32,56,,86,,,,32,50,,78,,,,32,45,,70,,,,32,40,,62,,,,32,35,,55,,,,32,31,,49,,,,32,28,,44,,,,32,25,,38,,,,32,21,,33,,,,29,17,,27,,,
deluxeNoneBowling,deluxe,None,Bowling,32,,117,85,,,,32,,111,81,,,,32,,107,78,,,,32,,97,71,,,,32,,90,66,,,,32,,83,61,,,,32,,76,56,,,,32,,69,50,,,,32,,62,45,,,,32,,55,40,,,,32,,48,35,,,,32,,43,31,,,,32,,39,28,,,,32,,34,25,,,,32,,29,21,,,,29,,24,17,,,
deluxeNoneBowling-Tech,deluxe,None,Bowling-Tech,32,,85,132,,,,32,,81,126,,,,32,,78,121,,,,32,,71,110,,,,32,,66,102,,,,32,,61,94,,,,32,,56,86,,,,32,,50,78,,,,32,,45,70,,,,32,,40,62,,,,32,,35,55,,,,32,,31,49,,,,32,,28,44,,,,32,,25,38,,,,32,,21,33,,,,29,,17,27,,,
deluxeNoneAll-Rounder,deluxe,None,All-Rounder,32,82,82,71,,,,32,78,78,68,,,,32,75,75,65,,,,32,68,68,59,,,,32,63,63,55,,,,32,58,58,51,,,,32,54,54,46,,,,32,48,48,42,,,,32,43,43,38,,,,32,39,39,34,,,,32,34,34,29,,,,32,30,30,26,,,,32,27,27,23,,,,32,24,24,20,,,,32,20,20,17,,,,29,16,16,14,,,
deluxeNoneKeeping,deluxe,None,Keeping,32,,,85,,249,62,32,,,81,,238,59,32,,,78,,228,57,32,,,71,,208,52,32,,,66,,192,48,32,,,61,,177,44,32,,,56,,163,40,32,,,50,,147,36,32,,,45,,132,33,32,,,40,,118,29,32,,,35,,104,26,32,,,32,,92,22,32,,,28,,83,20,32,,,25,,72,18,32,,,21,,62,15,29,,,17,,51,12
deluxeNoneKeeper-Batsman,deluxe,None,Keeper-Batsman,32,93,,85,,124,46,32,89,,81,,119,44,32,85,,78,,114,42,32,78,,71,,104,39,32,72,,66,,96,36,32,66,,61,,88,33,32,61,,56,,81,30,32,55,,50,,73,27,32,49,,45,,66,24,32,44,,40,,59,21,32,39,,35,,52,19,32,34,,31,,46,17,32,31,,28,,41,15,32,27,,25,,36,13,32,23,,21,,31,11,29,19,,17,,25,9
deluxeNoneFielding,deluxe,None,Fielding,32,,,46,,,343,32,,,44,,,327,32,,,42,,,314,32,,,39,,,286,32,,,36,,,264,32,,,33,,,244,32,,,30,,,224,32,,,27,,,202,32,,,24,,,182,32,,,22,,,162,32,,,19,,,143,32,,,17,,,127,32,,,15,,,114,32,,,13,,,100,32,,,11,,,85,29,,,9,,,70
deluxeNoneFitness,deluxe,None,Fitness,260,,,,45,,,260,,,,54,,,260,,,,63,,,260,,,,72,,,260,,,,77,,,260,,,,81,,,260,,,,86,,,260,,,,91,,,260,,,,91,,,260,,,,91,,,260,,,,91,,,260,,,,91,,,260,,,,81,,,260,,,,72,,,260,,,,63,,,234,,,,54,,
deluxeNoneStrength,deluxe,None,Strength,84,,,,123,,,84,,,,148,,,84,,,,172,,,84,,,,197,,,84,,,,209,,,84,,,,222,,,84,,,,233,,,84,,,,247,,,84,,,,247,,,84,,,,247,,,84,,,,247,,,84,,,,247,,,84,,,,222,,,84,,,,197,,,84,,,,172,,,76,,,,148,,
deluxeProdigyBatting,deluxe,Prodigy,Batting,39,140,,102,,,,39,134,,98,,,,39,128,,94,,,,39,117,,85,,,,39,108,,79,,,,32,83,,61,,,,32,76,,56,,,,32,69,,50,,,,32,62,,45,,,,32,55,,40,,,,32,48,,35,,,,32,43,,31,,,,32,39,,28,,,,32,34,,25,,,,32,29,,21,,,,29,24,,17,,,
deluxeProdigyBatting-Tech,deluxe,Prodigy,Batting-Tech,39,102,,158,,,,39,98,,152,,,,39,94,,145,,,,39,85,,132,,,,39,79,,123,,,,32,61,,94,,,,32,56,,86,,,,32,50,,78,,,,32,45,,70,,,,32,40,,62,,,,32,35,,55,,,,32,31,,49,,,,32,28,,44,,,,32,25,,38,,,,32,21,,33,,,,29,17,,27,,,
deluxeProdigyBowling,deluxe,Prodigy,Bowling,39,,140,102,,,,39,,134,98,,,,39,,128,94,,,,39,,117,85,,,,39,,108,79,,,,32,,83,61,,,,32,,76,56,,,,32,,69,50,,,,32,,62,45,,,,32,,55,40,,,,32,,48,35,,,,32,,43,31,,,,32,,39,28,,,,32,,34,25,,,,32,,29,21,,,,29,,24,17,,,
deluxeProdigyBowling-Tech,deluxe,Prodigy,Bowling-Tech,39,,102,158,,,,39,,98,152,,,,39,,94,145,,,,39,,85,132,,,,39,,79,123,,,,32,,61,94,,,,32,,56,86,,,,32,,50,78,,,,32,,45,70,,,,32,,40,62,,,,32,,35,55,,,,32,,31,49,,,,32,,28,44,,,,32,,25,38,,,,32,,21,33,,,,29,,17,27,,,
